Organism	g00	KO	Function
mluteus16	g003298	K00620	"Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate (By similarity)"
mluteus16	g000249	"K00210,K00220,K00800,K04517,K15226"	prephenate dehydrogenase
mluteus16	g003259	"K00301,K00303"	Sarcosine oxidase
mluteus16	g000521	K07335	basic membrane
mluteus16	g002031		Membrane
mluteus16	g002722	K01933	Phosphoribosylformylglycinamidine cyclo-ligase
mluteus16	g003329		c4-dicarboxylate transporter malic acid transport protein
mluteus16	g003398	K03445	Major Facilitator
mluteus16	g001055		transcriptional
mluteus16	g001485	"K00161,K00166"	"(E1 component), alpha subunit"
mluteus16	g003445		ADP-ribosylation crystallin J1
mluteus16	g001461	K00459	Pfam:NPD
mluteus16	g000143	K01443	GlcNAc 6-P deacetylase
mluteus16	g003505		
mluteus16	g001390		o-antigen acetylase
mluteus16	g001082	K01791	UDP-N-acetylglucosamine 2-epimerase
mluteus16	g001179	K00865	Glycerate kinase
mluteus16	g000346	K04763	Integrase
mluteus16	g003183	K07393	glutathione Stransferase
mluteus16	g004020	"K00971,K01809,K16011"	Mannose-1-phosphate guanylyltransferase
mluteus16	g002673		Aminotransferase
mluteus16	g001872		group 1 glycosyl transferase
mluteus16	g000111		Protein of unknown function (DUF2637)
mluteus16	g000804	"K00626,K00632"	Acetyl-CoA acetyltransferase
mluteus16	g002871		Domain of unknown function (DUF955)
mluteus16	g001013	K03593	ATP-binding protein
mluteus16	g001548	"K13010,K15910,K19430"	DegT DnrJ EryC1 StrS aminotransferase
mluteus16	g000104		glycosyl transferase group 1
mluteus16	g000148	K00946	"Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1 (By similarity)"
mluteus16	g001531		Transcriptional regulator
mluteus16	g003590		Acyltransferase
mluteus16	g001595	"K01647,K01659,K01681"	citrate synthase
mluteus16	g004088		Acyltransferase
mluteus16	g001862		Acyltransferase
mluteus16	g002573	K02342	DNA polymerase III
mluteus16	g001129		Acyltransferase
mluteus16	g000478	K02851	"Glycosyl transferase, family 4"
mluteus16	g000391		acetyltransferase
mluteus16	g003027	"K00259,K00298"	alanine dehydrogenase
mluteus16	g002826	K07301	"Na Ca antiporter, CaCA family"
mluteus16	g000633	"K00259,K00298"	alanine dehydrogenase
mluteus16	g002846		group 1 glycosyl transferase
mluteus16	g002843		
mluteus16	g003499	K01768	Adenylate cyclase
mluteus16	g000466	K01921	Cell wall formation (By similarity)
mluteus16	g000094		
mluteus16	g000101		Glycosyl transferases group 1
mluteus16	g001627		
mluteus16	g003262	"K01738,K01750"	ornithine cyclodeaminase
mluteus16	g002688	K00088	Dehydrogenase
mluteus16	g002661	K00566	"Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity)"
mluteus16	g001506	"K01438,K01439"	Succinyl-diaminopimelate desuccinylase
mluteus16	g003491		Protein of unknown function (DUF2637)
mluteus16	g004089		Glycosyl transferase (Group 1
mluteus16	g000430	K03686	"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)"
mluteus16	g002476	"K00248,K00249"	acyl-Coa dehydrogenase
mluteus16	g002905	K11752	"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)"
mluteus16	g002091		Domain of unknown function (DUF955)
mluteus16	g002669	K01749	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps (By similarity)
mluteus16	g001128		Glycosyl transferase (Group 1
mluteus16	g001826		Glycosyl transferase (Group 1
mluteus16	g000727		Membrane
mluteus16	g003140	"K06147,K06148,K16012,K16013,K16014"	abc transporter
mluteus16	g003943		Saccharopine dehydrogenase
mluteus16	g001967		oxidoreductase
mluteus16	g002489	K08224	Major Facilitator Superfamily
mluteus16	g003603	K02563	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)
mluteus16	g000175		oxidoreductase
mluteus16	g003065	K00641	Homoserine O-trans-acetylase
mluteus16	g001070		Membrane
mluteus16	g000639		Glycosyl transferase (Group 1
mluteus16	g002816		
mluteus16	g003745		NMT1/THI5 like
mluteus16	g003668		oxidoreductase
mluteus16	g000714	K01000	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)
mluteus16	g000056	K00354	"NADH flavin oxidoreductase, NADH oxidase"
mluteus16	g000432	"K00226,K00254"	Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor (By similarity)
mluteus16	g003810	"K01011,K01061"	sulfurtransferase
mluteus16	g000213		metalloendopeptidase activity
mluteus16	g000854	K00831	Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine (By similarity)
mluteus16	g002800	K07112	YeeE YedE family protein
mluteus16	g001143		
mluteus16	g002975		Inherit from NOG: glycosyl transferase group 1
mluteus16	g002917	K07112	YeeE YedE family protein
mluteus16	g001828		
mluteus16	g004081		transcriptional
mluteus16	g004096		
mluteus16	g004135		
mluteus16	g000713	K13787	Polyprenyl synthetase
mluteus16	g002230	K02836	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA (By similarity)
mluteus16	g001827		
mluteus16	g001604	"K00817,K04720"	imidazole acetol-phosphate transaminase
mluteus16	g002209		Major royal jelly protein
mluteus16	g001294		acyl-Coa dehydrogenase
mluteus16	g003471	"K00615,K00616,K13810"	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)
mluteus16	g002451	K02040	Part of the ABC transporter complex PstSACB involved in phosphate import (By similarity)
mluteus16	g001667		Integrase
mluteus16	g001895		Major capsid protein
mluteus16	g004085		group 1 glycosyl transferase
mluteus16	g001452	K07504	Type I restriction enzyme R protein N terminus (HSDR_N)
mluteus16	g000582	K02338	"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)"
mluteus16	g000394	K06987	Succinylglutamate desuccinylase / Aspartoacylase family
mluteus16	g000285	K05845	ABC transporter substrate-binding protein
mluteus16	g000927	K00549	"methionine synthase, vitamin-B12 independent"
mluteus16	g000266		Pfam:DUF88
mluteus16	g002740		
mluteus16	g002566	K01733	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine (By similarity)
mluteus16	g001006	K02040	Part of the ABC transporter complex PstSACB involved in phosphate import (By similarity)
mluteus16	g003215		
mluteus16	g001302		cytochrome c-type biogenesis protein ccsb
mluteus16	g000803	K08884	Serine Threonine protein kinase
mluteus16	g000750		alpha/beta hydrolase fold
mluteus16	g000479	K02835	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)
mluteus16	g001823		group 1 glycosyl transferase
mluteus16	g000673	K02549	mandelate racemase muconate lactonizing
mluteus16	g003126	K06979	Aminoglycoside phosphotransferase
mluteus16	g001112	"K02945,K03527"	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)
mluteus16	g003190	K00558	Cytosine-specific methyltransferase
mluteus16	g001121	"K00266,K00528"	reductase
mluteus16	g003552		DegT DnrJ EryC1 StrS aminotransferase
mluteus16	g003971	K00001	alcohol dehydrogenase
mluteus16	g003150		Domain of unknown function (DUF955)
mluteus16	g003696		
mluteus16	g001691	"K01856,K02549"	mandelate racemase muconate lactonizing
mluteus16	g003559		Inherit from bactNOG: REC
mluteus16	g000631	"K00817,K01239"	May catalyze the transamination reaction in phenylalanine biosynthesis (By similarity)
mluteus16	g001166	K00604	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)
mluteus16	g003118	K06949	May play a role in 30S ribosomal subunit biogenesis. Unusual circulary permuted GTPase that catalyzes rapid hydrolysis of GTP with a slow catalytic turnover (By similarity)
mluteus16	g000011		
mluteus16	g001231		Cytochrome p450
mluteus16	g003124		Pfam:DUF88
mluteus16	g002023	"K00817,K01239"	May catalyze the transamination reaction in phenylalanine biosynthesis (By similarity)
mluteus16	g000007		integral membrane protein
mluteus16	g001382	K19147	5-methylcytosine-specific restriction enzyme subunit McrC
mluteus16	g003307	"K00121,K00153"	Mycothiol-dependent formaldehyde dehydrogenase
mluteus16	g001338	"K00121,K00153"	Alcohol dehydrogenase GroES-like domain
mluteus16	g003135	K07047	Metal-dependent hydrolase with the TIM-barrel fold
mluteus16	g001401	"K00001,K00121"	alcohol dehydrogenase
mluteus16	g003516	K02004	FtsX-like permease family
mluteus16	g000609	K02004	FtsX-like permease family
mluteus16	g002264		
mluteus16	g001167	K06916	AFG1-family ATPase
mluteus16	g003776	K02071	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system (By similarity)
mluteus16	g002312	K03325	arsenical-resistance protein
mluteus16	g003031		
mluteus16	g003037	K01409	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
mluteus16	g001022	K02012	extracellular solute-binding protein family 1
mluteus16	g002622	"K01802,K03772"	Peptidyl-prolyl cis-trans isomerase
mluteus16	g000566		
mluteus16	g002076	K03284	magnesium and cobalt transport protein CorA
mluteus16	g001908		
mluteus16	g002045	K00826	Branched-chain amino acid aminotransferase
mluteus16	g001422	K01297	peptidase U61 LD-carboxypeptidase A
mluteus16	g001422	K01297	peptidase U61 LD-carboxypeptidase A
mluteus16	g001593	K00858	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)
mluteus16	g001837	K02015	transport system permease
mluteus16	g003835	"K00354,K10680"	NADH flavin oxidoreductase NADH oxidase
mluteus16	g001647		Prolyl oligopeptidase family
mluteus16	g003946		Catalase
mluteus16	g000567	"K00024,K01644"	Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)
mluteus16	g002083	K01858	synthase
mluteus16	g003068	K11072	Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system (By similarity)
mluteus16	g001115	K06942	GTP-binding protein YchF
mluteus16	g001741	K01858	synthase
mluteus16	g003416		Pfam:DUF88
mluteus16	g000948		
mluteus16	g001574		Methylamine utilisation protein MauE
mluteus16	g000252	K01889	Phenylalanyl-tRNA synthetase alpha subunit
mluteus16	g001077	K01867	Tryptophanyl-tRNA synthetase
mluteus16	g002474	K07058	Ribonuclease bn
mluteus16	g002788	"K02010,K10112"	abc transporter
mluteus16	g003325		
mluteus16	g002767	K13789	geranylgeranyl pyrophosphate synthase
mluteus16	g002779	K02016	Periplasmic binding protein
mluteus16	g000748	"K03890,K15878"	"c reductase, iron-sulfur"
mluteus16	g001982	K16045	Dehydrogenase
mluteus16	g002883	K00052	3-isopropylmalate dehydrogenase activity
mluteus16	g000292		Inherit from COG: Dehydrogenase
mluteus16	g002534		Phosphotransferase enzyme family
mluteus16	g001364	"K16839,K17940"	"monooxygenase, FAD-binding"
mluteus16	g000254		Radical SAM domain-containing protein
mluteus16	g000822	K01620	aldolase
mluteus16	g002721	K01424	L-asparaginase ii
mluteus16	g003270	K16045	Dehydrogenase
mluteus16	g000751	K06217	PhoH family
mluteus16	g000098		Glycosyl transferase group 1
mluteus16	g001355		Inherit from bactNOG: ATP GTP-binding protein
mluteus16	g001026		Inosine-uridine preferring nucleoside hydrolase
mluteus16	g000179		(LipO)protein
mluteus16	g001456	K02015	"transport system, permease"
mluteus16	g001032		Gcn5-related n-acetyltransferase
mluteus16	g000970	K02064	ABC transporter substrate-binding protein
mluteus16	g000881	K00004	Dehydrogenase
mluteus16	g002447		
mluteus16	g002526		Acyltransferase
mluteus16	g002922	K19131	CRISPR-associated protein GSU0053 (Cas_GSU0053)
mluteus16	g002069	"K00162,K00167,K11381"	pyruvate dehydrogenase e1 component suBunit beta
mluteus16	g000739		"phage shock protein C, PspC"
mluteus16	g000813	"K00805,K02523,K05356"	diphosphate synthase
mluteus16	g001713	K03553	"Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)"
mluteus16	g001778	K07442	tRNA (Adenine-N1-)-methyltransferase
mluteus16	g000291	K02016	Periplasmic binding protein
mluteus16	g002903		
mluteus16	g002858		Methylamine utilisation protein MauE
mluteus16	g001671		Inherit from bactNOG: DNA repair protein RadA domain
mluteus16	g004100		Inherit from bactNOG: Methyltransferase FkbM
mluteus16	g001466	K00001	Dehydrogenase
mluteus16	g003414	K07177	secreted protein
mluteus16	g003002		Glycosyl transferases group 1
mluteus16	g002234	K00344	alcohol dehydrogenase
mluteus16	g002842		
mluteus16	g004093	K17947	epimerase dehydratase
mluteus16	g002051	K03800	Lipoate-protein ligase
mluteus16	g002039	K03699	CBS Domain protein
mluteus16	g000800		
mluteus16	g003923	K07241	High-affinity
mluteus16	g000240		
mluteus16	g002625	"K00766,K13497"	anthranilate phosphoribosyltransferase
mluteus16	g001432		aldo keto reductase
mluteus16	g002657	K02520	"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)"
mluteus16	g001457	K02015	transport system permease protein
mluteus16	g000495		
mluteus16	g002206		
mluteus16	g002966		Catalase
mluteus16	g002285	K02015	transport system permease
mluteus16	g001152	K00150	"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
mluteus16	g001296		hydrolase
mluteus16	g000905	K01784	UDP-glucose 4-epimerase
mluteus16	g000602	K02013	Siderophore-interacting protein
mluteus16	g003084		
mluteus16	g000608		
mluteus16	g001123		
mluteus16	g003714		
mluteus16	g002587	"K00648,K11608"	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids (By similarity)
